"location","lineage","colonyID","distance","beeID","dance","phase","start_frame","end_frame","frame_difference","duration"
"Bangalore","Apis cerana cerana","Colony_1",100,"BR",5,31,3892,3916,24,0.4
"Bangalore","Apis cerana cerana","Colony_1",100,"BR",5,32,3990,4022,32,0.533333333333333
"Bangalore","Apis cerana cerana","Colony_1",100,"BR",5,33,4082,4102,20,0.333333333333333
"Bangalore","Apis cerana cerana","Colony_1",100,"BR",5,34,4170,4202,32,0.533333333333333
"Bangalore","Apis cerana cerana","Colony_1",100,"BR",5,35,4274,4286,12,0.2
"Bangalore","Apis cerana cerana","Colony_1",100,"BR",5,36,4342,4366,24,0.4
"Bangalore","Apis cerana cerana","Colony_1",100,"BR",5,37,4452,4472,20,0.333333333333333
"Bangalore","Apis cerana cerana","Colony_1",100,"BR",5,38,4530,4558,28,0.466666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"BR",5,39,4632,4656,24,0.4
"Bangalore","Apis cerana cerana","Colony_1",100,"BR",5,40,4842,4860,18,0.3
"Bangalore","Apis cerana cerana","Colony_1",100,"BR",5,41,4930,4954,24,0.4
"Bangalore","Apis cerana cerana","Colony_1",100,"BR",5,42,5050,5075,25,0.416666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"BR",5,43,5146,5168,22,0.366666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"BR",5,44,5252,5278,26,0.433333333333333
"Bangalore","Apis cerana cerana","Colony_1",100,"BR",5,45,5342,5370,28,0.466666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"BR",5,46,5438,5451,13,0.216666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"BR",5,47,5536,5561,25,0.416666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"BR",5,48,5622,5652,30,0.5
"Bangalore","Apis cerana cerana","Colony_1",100,"BR",5,49,5736,5748,12,0.2
"Bangalore","Apis cerana cerana","Colony_1",100,"BR",5,50,5822,5851,29,0.483333333333333
"Bangalore","Apis cerana cerana","Colony_1",100,"BR",5,51,5906,5920,14,0.233333333333333
"Bangalore","Apis cerana cerana","Colony_1",100,"BR",5,52,6026,6038,12,0.2
"Bangalore","Apis cerana cerana","Colony_1",100,"BR",5,53,6114,6130,16,0.266666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"BR",5,54,6212,6221,9,0.15
"Bangalore","Apis cerana cerana","Colony_1",100,"BR",5,55,6306,6331,25,0.416666666666667
"Bangalore","Apis cerana cerana","Colony_1",100,"BR",5,56,6412,6439,27,0.45
"Bangalore","Apis cerana cerana","Colony_1",100,"BR",5,57,6530,6544,14,0.233333333333333
