"sub_lin","emmean","SE","df","lower.CL","upper.CL"
"Acc_B",0.340709354615551,0.0732786879804713,5,0.15234049035369,0.529078218877411
"Acc_Ku",0.451411102996887,0.0732786879804713,5,0.263042238735027,0.639779967258748
"Aci_B",0.431498013102256,0.0732786879804713,5,0.243129148840396,0.619866877364117
"Ack_Ka",0.312569635770746,0.0598317981909245,5,0.158767102147698,0.466372169393794
