"sub_lin","distance.trend","SE","df","asymp.LCL","asymp.UCL"
"Acc_B",0.00220557480726953,4.99240979831238e-05,Inf,0.00210772537326196,0.0023034242412771
"Acc_Ku",0.00181033825208312,0.000107527176663956,Inf,0.00159958885846249,0.00202108764570375
"Aci_B",0.00418174264716505,4.52188541152778e-05,Inf,0.00409311532167693,0.00427036997265316
"Ack_Ka",0.00201839738539866,5.78880040132599e-05,Inf,0.00190493898239576,0.00213185578840156
