"contrast","estimate","SE","df","t.ratio","p.value"
"Acc_B - Acc_Ku",-1.10993057636439,0.109950334211572,1600,-10.0948358576937,0
"Acc_B - Aci_B",1.35657911435919,0.105622908553397,7,12.8436068741033,1.81517166384371e-05
"Acc_B - Ack_Ka",-0.487754969686157,0.102624196716429,7,-4.75282618809599,0.0086594128123938
"Acc_Ku - Aci_B",2.46650969072359,0.108826645057349,7,22.6645752924185,2.98978824586627e-07
"Acc_Ku - Ack_Ka",0.622175606678234,0.10591867453311,7,5.87408792095245,0.00263725322627184
"Aci_B - Ack_Ka",-1.84433408404535,0.101419369120961,7,-18.1852253670168,1.51153328298292e-06
