"Lineage","Location","Colony","Bee ID","Slope","Range"
"A. c. kashmirensis","Kashmir","1","PT","0.0017
[0.0007 - 0.0027]","50 - 300"
"A. c. kashmirensis","Kashmir","1","WA","0.0022
[0.0013 - 0.0032]","50 - 300"
"A. c. kashmirensis","Kashmir","1","YA","0.0041
[0.0023 - 0.0059]","50 - 300"
"A. c. kashmirensis","Kashmir","2","BA","0.0022
[-0.0001 - 0.0045]","250 - 400"
"A. c. kashmirensis","Kashmir","2","BB","0.0027
[0.0014 - 0.0039]","250 - 500"
"A. c. kashmirensis","Kashmir","2","BT","0.0033
[0.0023 - 0.0043]","50 - 300"
"A. c. kashmirensis","Kashmir","2","FGI","0.0025
[0.0007 - 0.0044]","150 - 350"
"A. c. kashmirensis","Kashmir","2","OA","0.0019
[0.0005 - 0.0032]","200 - 500"
"A. c. kashmirensis","Kashmir","2","PP","0.0025
[0.0002 - 0.0049]","250 - 400"
"A. c. kashmirensis","Kashmir","2","RWT","0.0013
[0.0004 - 0.0023]","50 - 500"
"A. c. kashmirensis","Kashmir","2","WRT","0.0023
[0.0011 - 0.0034]","100 - 500"
"A. c. kashmirensis","Kashmir","2","YT","0.0018
[0.0009 - 0.0027]","100 - 500"
"A. c. kashmirensis","Kashmir","3","FG_","0.0018
[0.0009 - 0.0028]","50 - 500"
"A. c. kashmirensis","Kashmir","3","GWT","0.0011
[-0.0005 - 0.0027]","300 - 450"
"A. c. kashmirensis","Kashmir","3","WT","0.0019
[0.0012 - 0.0026]","50 - 500"
"A. c. kashmirensis","Kashmir","3","WW","0.0018
[-0.0002 - 0.0037]","150 - 400"
