"contrast","estimate","SE","df","z.ratio","p.value"
"Acc_B - Acc_Ku",0.000395236555186412,0.000118551715638156,Inf,3.33387461378253,0.00475123452386472
"Acc_B - Aci_B",-0.00197616783989551,6.73584465893278e-05,Inf,-29.3380851245554,0
"Acc_B - Ack_Ka",0.000187177421870873,7.64423741655617e-05,Inf,2.44860816940977,0.0682699293705195
"Acc_Ku - Aci_B",-0.00237140439508193,0.000116648353991046,Inf,-20.3295144247296,0
"Acc_Ku - Ack_Ka",-0.00020805913331554,0.000122119264368734,Inf,-1.70373719814847,0.32164483008813
"Aci_B - Ack_Ka",0.00216334526176639,7.34558763894215e-05,Inf,29.4509488975062,0
