"sub_lin","distance.trend","SE","df","lower.CL","upper.CL"
"Acc_B",0.00222399890756273,8.71913796702965e-05,1622.16425720807,0.00205297934041855,0.0023950184747069
"Acc_Ku",0.00159502258571275,0.000144160804278934,1609.92446531662,0.00131226001906488,0.00187778515236063
"Aci_B",0.00399838186463795,6.75733762786316e-05,1612.93839842929,0.00386584102215898,0.00413092270711692
"Ack_Ka",0.00185030277625358,8.66066384633326e-05,1625.2588821824,0.00168043037808921,0.00202017517441795
