"contrast","estimate","SE","df","t.ratio","p.value"
"Acc_B - Acc_Ku",0.000628976321849971,0.000168477518319683,1619.55377817414,3.73329526765999,0.00112004471418281
"Acc_B - Aci_B",-0.00177438295707522,0.00011031091455746,1625.36991763837,-16.0852891501589,0
"Acc_B - Ack_Ka",0.000373696131309143,0.000122894452741888,1624.42145329094,3.04078925428804,0.0128053398866838
"Acc_Ku - Aci_B",-0.0024033592789252,0.000159212118483622,1610.49020375019,-15.0953288092353,0
"Acc_Ku - Ack_Ka",-0.000255280190540828,0.000168175644242166,1617.10246158963,-1.5179379373938,0.426894013915449
"Aci_B - Ack_Ka",0.00214807908838437,0.000109849310455787,1623.6870896592,19.5547799023184,1.54765089632747e-13
