"sub_col","distance.trend","SE","df","lower.CL","upper.CL"
"Acc_B_1",0.00330820715842704,0.000341562069390418,1166.17995196137,0.00263806228075266,0.00397835203610143
"Acc_B_2",0.00190402860735448,0.000109067571144002,1505.65794436999,0.00169008811643715,0.0021179690982718
"Acc_B_3",0.00262101220125542,0.000273357424030938,461.183770602995,0.00208383174437925,0.0031581926581316
"Acc_Ku_1",0.00134147829163041,0.000276371658830843,759.901855243043,0.000798935660954662,0.00188402092230616
"Acc_Ku_2",0.00193413803531673,0.000193496824528062,1438.78834334613,0.00155457192696693,0.00231370414366652
"Aci_B_1",0.00462264440052338,0.000101502866436035,1629.90661332523,0.00442355459625981,0.00482173420478696
"Aci_B_2",0.0035710882920225,0.000105985788765766,930.831202698387,0.00336308950734001,0.00377908707670499
"Ack_Ka_1",0.00183417437053945,0.000165449310033676,1067.40907319636,0.00150953156734813,0.00215881717373077
"Ack_Ka_2",0.00208312440707237,0.000145746693752421,1373.83567904964,0.00179721425020165,0.00236903456394309
"Ack_Ka_3",0.00172516249804469,0.000188773122226792,1282.58956915034,0.00135482449929201,0.00209550049679736
