"contrast","estimate","SE","df","t.ratio","p.value"
"Acc_B - Acc_Ku",-0.110701748381337,0.103631714374889,5,-1.06822268693608,0.721581443643145
"Acc_B - Aci_B",-0.0907886584867058,0.103631714374889,5,-0.876070216866981,0.817497470916037
"Acc_B - Ack_Ka",0.028139718844805,0.0946023793934316,5,0.297452548500685,0.98975717498506
"Acc_Ku - Aci_B",0.0199130898946308,0.103631714374889,5,0.192152470069104,0.997153692430769
"Acc_Ku - Ack_Ka",0.138841467226142,0.0946023793934316,5,1.46763187264803,0.516292907283109
"Aci_B - Ack_Ka",0.118928377331511,0.0946023793934316,5,1.25713938797366,0.622647657396123
