"lineage","Mean","SE","CI_low","CI_high"
"Apis cerana indica (Bangalore)",2.39840059936575,0.0228063565707478,2.35161010099621,2.44519109773528
"Apis cerana cerana (Bangalore)",2.73333333333333,0.0185587969074372,2.69416111409766,2.77250555256901
"Apis cerana cerana (Kullu)",2.80840059936575,0.0228063565707478,2.76161010099621,2.85519109773528
"Apis cerana kashmirensis (Kashmir)",2.93333333333333,0.0185587969074371,2.89416111409766,2.97250555256901
