"Level1","Level2","Difference","CI_low","CI_high","SE","df","t","p"
"Apis cerana cerana (Bangalore)","Apis cerana cerana (Kullu)",-0.0750672660324128,-0.141475753377125,-0.00865877868770062,0.024690814109152,104.114397095088,-3.0402912476097,0.002989765572355
"Apis cerana cerana (Bangalore)","Apis cerana kashmirensis (Kashmir)",-0.200000000000001,-0.256069775634409,-0.143930224365593,0.0208311148043523,100.219765734249,-9.60102240703002,2.18343506831002e-15
"Apis cerana cerana (Kullu)","Apis cerana kashmirensis (Kashmir)",-0.124932733967588,-0.1913412213123,-0.0585242466228758,0.024690814109152,104.114397095087,-5.05988718781371,3.62663446658477e-06
"Apis cerana indica (Bangalore)","Apis cerana cerana (Bangalore)",-0.334932733967587,-0.4013412213123,-0.268524246622875,0.024690814109152,104.114397095088,-13.5650745450082,3.76964137058489e-24
"Apis cerana indica (Bangalore)","Apis cerana cerana (Kullu)",-0.41,-0.478671170148318,-0.341328829851682,0.0255128010219998,100.21976573425,-16.0703640359385,8.56530166882713e-29
"Apis cerana indica (Bangalore)","Apis cerana kashmirensis (Kashmir)",-0.534932733967588,-0.6013412213123,-0.468524246622876,0.024690814109152,104.114397095087,-21.6652529804316,1.37222334185956e-39
