"contrast","estimate","SE","df","t.ratio","p.value"
"Acc_B - Acc_Ku",0.243579450982497,0.0223840904836508,1600,10.8818113990562,0
"Acc_B - Aci_B",-0.34832017390765,0.0201933161033502,1600,-17.2492805106865,0
"Acc_B - Ack_Ka",0.0989090778098249,0.0203151755498489,1600,4.86872867857451,7.34703777971468e-06
"Acc_Ku - Aci_B",-0.591899624890146,0.0221607509201993,1600,-26.7093667999597,0
"Acc_Ku - Ack_Ka",-0.144670373172672,0.022271848233105,1600,-6.49566087459382,6.59121424106957e-10
"Aci_B - Ack_Ka",0.447229251717474,0.0200688248830873,1600,22.2847752333705,0
