Population,Colony_ID,Distance(m),Bee_Id,Dance_No .,Waggle_run_No.,Start_frame,End_frame,Frame_difference,Waggle_run_duration(s),Mean_frame_difference,Mean_waggle_run_duration(s)
Apis cerana kashmirensis,Colony_1,50,GT,1,1,20530,20546,16,0.27118644,18,0.305084745
Apis cerana kashmirensis,Colony_1,50,GT,1,2,20604,20628,24,0.40677966,,
Apis cerana kashmirensis,Colony_1,50,GT,1,3,20690,20704,14,0.237288135,,
Apis cerana kashmirensis,Colony_1,50,GT,1,4,20762,20780,18,0.305084745,,
Apis cerana kashmirensis,Colony_1,50,GT,2,1,32669,32685,16,0.27118644,20.58333333,0.348870056
Apis cerana kashmirensis,Colony_1,50,GT,2,2,32748,32762,14,0.237288135,,
Apis cerana kashmirensis,Colony_1,50,GT,2,3,32836,32855,19,0.322033898,,
Apis cerana kashmirensis,Colony_1,50,GT,2,4,32929,32950,21,0.355932203,,
Apis cerana kashmirensis,Colony_1,50,GT,2,5,33022,33032,10,0.169491525,,
Apis cerana kashmirensis,Colony_1,50,GT,2,6,33090,33111,21,0.355932203,,
Apis cerana kashmirensis,Colony_1,50,GT,2,7,33210,33230,20,0.33898305,,
Apis cerana kashmirensis,Colony_1,50,GT,2,8,33292,33311,19,0.322033898,,
Apis cerana kashmirensis,Colony_1,50,GT,2,9,33370,33400,30,0.508474575,,
Apis cerana kashmirensis,Colony_1,50,GT,2,10,33439,33459,20,0.33898305,,
Apis cerana kashmirensis,Colony_1,50,GT,2,NA,NA,NA,NA,NA,,
Apis cerana kashmirensis,Colony_1,50,GT,2,11,33654,33694,40,0.6779661,,
Apis cerana kashmirensis,Colony_1,50,GT,2,12,33780,33797,17,0.288135593,,
Apis cerana kashmirensis,Colony_1,50,LGT,1,1,18118,18131,13,0.220338983,11.85714286,0.200968523
Apis cerana kashmirensis,Colony_1,50,LGT,1,NA,NA,NA,NA,NA,,
Apis cerana kashmirensis,Colony_1,50,LGT,1,2,18250,18260,10,0.169491525,,
Apis cerana kashmirensis,Colony_1,50,LGT,1,3,18318,18333,15,0.254237288,,
Apis cerana kashmirensis,Colony_1,50,LGT,1,NA,NA,NA,NA,NA,,
Apis cerana kashmirensis,Colony_1,50,LGT,1,4,18544,18555,11,0.186440678,,
Apis cerana kashmirensis,Colony_1,50,LGT,1,5,18622,18633,11,0.186440678,,
Apis cerana kashmirensis,Colony_1,50,LGT,1,6,18684,18699,15,0.254237288,,
Apis cerana kashmirensis,Colony_1,50,LGT,1,NA,NA,NA,NA,NA,,
Apis cerana kashmirensis,Colony_1,50,LGT,1,7,19368,19376,8,0.13559322,,
Apis cerana kashmirensis,Colony_1,50,LGT,2,1,2998,3014,16,0.27118644,16,0.27118644
Apis cerana kashmirensis,Colony_1,50,LGT,2,NA,NA,NA,NA,NA,,
Apis cerana kashmirensis,Colony_1,50,LGT,2,2,3184,3196,12,0.20338983,,
Apis cerana kashmirensis,Colony_1,50,LGT,2,3,3258,3283,25,0.423728813,,
Apis cerana kashmirensis,Colony_1,50,LGT,2,NA,NA,NA,NA,NA,,
Apis cerana kashmirensis,Colony_1,50,LGT,2,4,3592,3603,11,0.186440678,,
Apis cerana kashmirensis,Colony_1,50,LGT,3,1,17930,17957,27,0.457627118,16.2,0.274576271
Apis cerana kashmirensis,Colony_1,50,LGT,3,NA,NA,NA,NA,NA,,
Apis cerana kashmirensis,Colony_1,50,LGT,3,2,18078,18100,22,0.372881355,,
Apis cerana kashmirensis,Colony_1,50,LGT,3,3,18151,18163,12,0.20338983,,
Apis cerana kashmirensis,Colony_1,50,LGT,3,4,18220,18236,16,0.27118644,,
Apis cerana kashmirensis,Colony_1,50,LGT,3,5,18286,18307,21,0.355932203,,
Apis cerana kashmirensis,Colony_1,50,LGT,3,6,18360,18371,11,0.186440678,,
Apis cerana kashmirensis,Colony_1,50,LGT,3,7,18429,18447,18,0.305084745,,
Apis cerana kashmirensis,Colony_1,50,LGT,3,8,18494,18514,20,0.33898305,,
Apis cerana kashmirensis,Colony_1,50,LGT,3,9,18580,18585,5,0.084745763,,
Apis cerana kashmirensis,Colony_1,50,LGT,3,NA,NA,NA,NA,NA,,
Apis cerana kashmirensis,Colony_1,50,LGT,3,10,18734,18744,10,0.169491525,,
Apis cerana kashmirensis,Colony_1,50,LGT,3,NA,NA,NA,NA,NA,,
Apis cerana kashmirensis,Colony_1,50,LGT,3,11,19432,19443,11,0.186440678,,
Apis cerana kashmirensis,Colony_1,50,LGT,3,NA,NA,NA,NA,NA,,
Apis cerana kashmirensis,Colony_1,50,LGT,3,12,19638,19661,23,0.389830508,,
Apis cerana kashmirensis,Colony_1,50,LGT,3,13,19704,19713,9,0.152542373,,
Apis cerana kashmirensis,Colony_1,50,LGT,3,14,19780,19808,28,0.47457627,,
Apis cerana kashmirensis,Colony_1,50,LGT,4,1,19648,19660,12,0.20338983,15.33333333,0.259887005
Apis cerana kashmirensis,Colony_1,50,LGT,4,2,19702,19711,9,0.152542373,,
Apis cerana kashmirensis,Colony_1,50,LGT,4,3,19774,19798,24,0.40677966,,
Apis cerana kashmirensis,Colony_1,50,LGT,4,4,19854,19872,18,0.305084745,,
Apis cerana kashmirensis,Colony_1,50,LGT,4,NA,NA,NA,NA,NA,,
Apis cerana kashmirensis,Colony_1,50,LGT,4,5,20234,20250,16,0.27118644,,
Apis cerana kashmirensis,Colony_1,50,LGT,4,NA,NA,NA,NA,NA,,
Apis cerana kashmirensis,Colony_1,50,LGT,4,6,20326,20343,17,0.288135593,,
Apis cerana kashmirensis,Colony_1,50,LGT,4,7,20388,20401,13,0.220338983,,
Apis cerana kashmirensis,Colony_1,50,LGT,4,8,20474,20485,11,0.186440678,,
Apis cerana kashmirensis,Colony_1,50,LGT,4,9,20666,20679,13,0.220338983,,
Apis cerana kashmirensis,Colony_1,50,LGT,5,1,33656,33670,14,0.237288135,20.16666667,0.341807909
Apis cerana kashmirensis,Colony_1,50,LGT,5,2,33726,33743,17,0.288135593,,
Apis cerana kashmirensis,Colony_1,50,LGT,5,3,34148,34168,20,0.33898305,,
Apis cerana kashmirensis,Colony_1,50,LGT,5,4,34216,34248,32,0.54237288,,
Apis cerana kashmirensis,Colony_1,50,LGT,5,5,34318,34330,12,0.20338983,,
Apis cerana kashmirensis,Colony_1,50,LGT,5,NA,NA,NA,NA,NA,,
Apis cerana kashmirensis,Colony_1,50,LGT,5,6,35096,35122,26,0.440677965,,
Apis cerana kashmirensis,Colony_1,50,OA,1,1,2762,2792,30,0.508474575,23.66666667,0.401129943
Apis cerana kashmirensis,Colony_1,50,OA,1,2,2874,2894,20,0.33898305,,
Apis cerana kashmirensis,Colony_1,50,OA,1,3,3242,3262,20,0.33898305,,
Apis cerana kashmirensis,Colony_1,50,OA,1,4,3324,3354,30,0.508474575,,
Apis cerana kashmirensis,Colony_1,50,OA,1,NA,NA,NA,NA,NA,,
Apis cerana kashmirensis,Colony_1,50,OA,1,5,3702,3724,22,0.372881355,,
Apis cerana kashmirensis,Colony_1,50,OA,1,6,3790,3809,19,0.322033898,,
Apis cerana kashmirensis,Colony_1,50,OA,1,7,3878,3901,23,0.389830508,,
Apis cerana kashmirensis,Colony_1,50,OA,1,8,3962,3987,25,0.423728813,,
Apis cerana kashmirensis,Colony_1,50,OA,1,9,4056,4073,17,0.288135593,,
Apis cerana kashmirensis,Colony_1,50,OA,1,10,4124,4155,31,0.525423728,,
Apis cerana kashmirensis,Colony_1,50,OA,1,11,4220,4255,35,0.593220338,,
Apis cerana kashmirensis,Colony_1,50,OA,1,12,4318,4330,12,0.20338983,,
Apis cerana kashmirensis,Colony_1,50,OA,2,1,27060,27101,41,0.694915253,25.66666667,0.435028248
Apis cerana kashmirensis,Colony_1,50,OA,2,2,27190,27212,22,0.372881355,,
Apis cerana kashmirensis,Colony_1,50,OA,2,3,27296,27310,14,0.237288135,,
Apis cerana kashmirensis,Colony_1,50,OA,3,1,5374,5396,22,0.372881355,24,0.40677966
