Population,Colony_ID,Distance(m),Bee_Id,Dance_No .,Waggle_run_No.,Start_frame,End_frame,Frame_difference,Waggle_run_duration(s),Mean_frame_difference,Mean_waggle_run_duration(s)
Apis cerana kashmirensis,Colony_2,50,BT,1,1,36990,37006,16,0.27118644,17.5,0.296625
Apis cerana kashmirensis,Colony_2,50,BT,1,NA,NA,NA,NA,NA,,
Apis cerana kashmirensis,Colony_2,50,BT,1,2,37252,37271,19,0.322033898,,
Apis cerana kashmirensis,Colony_2,50,BT,2,1,5472,5485,13,0.220338983,12.8,0.21696
Apis cerana kashmirensis,Colony_2,50,BT,2,NA,NA,NA,NA,NA,,
Apis cerana kashmirensis,Colony_2,50,BT,2,2,5718,5730,12,0.20338983,,
Apis cerana kashmirensis,Colony_2,50,BT,2,3,5796,5811,15,0.254237288,,
Apis cerana kashmirensis,Colony_2,50,BT,2,NA,NA,NA,NA,NA,,
Apis cerana kashmirensis,Colony_2,50,BT,2,4,6124,6141,17,0.288135593,,
Apis cerana kashmirensis,Colony_2,50,BT,2,NA,NA,NA,NA,NA,,
Apis cerana kashmirensis,Colony_2,50,BT,2,5,7210,7217,7,0.118644068,,
Apis cerana kashmirensis,Colony_2,50,BT,3,1,20626,20638,12,0.20338983,10,0.1695
Apis cerana kashmirensis,Colony_2,50,BT,3,2,21592,21600,8,0.13559322,,
Apis cerana kashmirensis,Colony_2,50,BT,3,3,21668,21675,7,0.118644068,,
Apis cerana kashmirensis,Colony_2,50,BT,3,NA,NA,NA,NA,NA,,
Apis cerana kashmirensis,Colony_2,50,BT,3,4,21920,21933,13,0.220338983,,
Apis cerana kashmirensis,Colony_2,50,BT,4,1,5723,5733,10,0.169491525,12.5,0.211875
Apis cerana kashmirensis,Colony_2,50,BT,4,NA,NA,NA,NA,NA,,
Apis cerana kashmirensis,Colony_2,50,BT,4,2,5875,5890,15,0.254237288,,
Apis cerana kashmirensis,Colony_2,50,BT,5,1,18046,18062,16,0.27118644,15,0.25425
Apis cerana kashmirensis,Colony_2,50,BT,5,2,18134,18155,21,0.355932203,,
Apis cerana kashmirensis,Colony_2,50,BT,5,3,18222,18230,8,0.13559322,,
Apis cerana kashmirensis,Colony_2,50,BYT,1,1,8382,8406,24,0.40677966,19,0.32205
Apis cerana kashmirensis,Colony_2,50,BYT,1,NA,NA,NA,NA,NA,,
Apis cerana kashmirensis,Colony_2,50,BYT,1,2,8814,8855,41,0.694915253,,
Apis cerana kashmirensis,Colony_2,50,BYT,1,3,8901,8915,14,0.237288135,,
Apis cerana kashmirensis,Colony_2,50,BYT,1,NA,NA,NA,NA,NA,,
Apis cerana kashmirensis,Colony_2,50,BYT,1,4,9084,9100,16,0.27118644,,
Apis cerana kashmirensis,Colony_2,50,BYT,1,5,9256,9265,9,0.152542373,,
Apis cerana kashmirensis,Colony_2,50,BYT,1,6,9363,9376,13,0.220338983,,
Apis cerana kashmirensis,Colony_2,50,BYT,1,7,9638,9653,15,0.254237288,,
Apis cerana kashmirensis,Colony_2,50,BYT,1,8,9728,9738,10,0.169491525,,
Apis cerana kashmirensis,Colony_2,50,BYT,1,9,9814,9843,29,0.491525423,,
Apis cerana kashmirensis,Colony_2,50,BYT,2,1,15678,15702,24,0.40677966,23.28571429,0.394692857
Apis cerana kashmirensis,Colony_2,50,BYT,2,NA,NA,NA,NA,NA,,
Apis cerana kashmirensis,Colony_2,50,BYT,2,2,16000,16023,23,0.389830508,,
Apis cerana kashmirensis,Colony_2,50,BYT,2,3,16118,16138,20,0.33898305,,
Apis cerana kashmirensis,Colony_2,50,BYT,2,4,16305,16324,19,0.322033898,,
