Population,Colony_ID,Distance(m),Bee_Id,Dance_No .,Waggle_run_No.,Start_frame,End_frame,Frame_difference,Waggle_run_duration(s),Mean_frame_difference,Mean_waggle_run_duration(s)
Apis cerana cerana,Colony_2,50,WB,1,1,32430,32444,14,0.237288135,18.5,0.313559321
Apis cerana cerana,Colony_2,50,WB,1,NA,NA,NA,NA,NA,,
Apis cerana cerana,Colony_2,50,WB,1,2,32774,32797,23,0.389830508,23,
Apis cerana cerana,Colony_2,50,WT,1,1,8236,8260,24,0.40677966,20.5,0.347457626
Apis cerana cerana,Colony_2,50,WT,1,2,8336,8353,17,0.288135593,,
Apis cerana cerana,Colony_2,50,WT,2,1,14972,14986,14,0.237288135,17.66666667,0.299435028
Apis cerana cerana,Colony_2,50,WT,2,2,15054,15076,22,0.372881355,,
Apis cerana cerana,Colony_2,50,WT,2,3,15340,15357,17,0.288135593,,
Apis cerana cerana,Colony_2,50,YB,1,1,30510,30546,36,0.61016949,25.75,0.436440677
Apis cerana cerana,Colony_2,50,YB,1,NA,NA,NA,NA,NA,,
Apis cerana cerana,Colony_2,50,YB,1,2,30938,30950,12,0.20338983,,
Apis cerana cerana,Colony_2,50,YB,1,3,31022,31043,21,0.355932203,,
Apis cerana cerana,Colony_2,50,YB,1,4,31124,31158,34,0.576271185,,
Apis cerana cerana,Colony_2,50,YB,2,1,38081,38095,14,0.237288135,14,0.237288135
Apis cerana cerana,Colony_2,50,YB,3,1,6044,6063,19,0.322033898,24.88888889,0.421845573
Apis cerana cerana,Colony_2,50,YB,3,2,6134,6171,37,0.627118643,,
Apis cerana cerana,Colony_2,50,YB,3,3,6252,6274,22,0.372881355,,
Apis cerana cerana,Colony_2,50,YB,3,NA,NA,NA,NA,NA,,
Apis cerana cerana,Colony_2,50,YB,3,4,6576,6605,29,0.491525423,,
Apis cerana cerana,Colony_2,50,YB,3,5,6676,6711,35,0.593220338,,
Apis cerana cerana,Colony_2,50,YB,3,6,6800,6824,24,0.40677966,,
Apis cerana cerana,Colony_2,50,YB,3,NA,NA,NA,NA,NA,,
Apis cerana cerana,Colony_2,50,YB,3,7,7034,7047,13,0.220338983,,
Apis cerana cerana,Colony_2,50,YB,3,NA,NA,NA,NA,NA,,
Apis cerana cerana,Colony_2,50,YB,3,8,7736,7748,12,0.20338983,,
Apis cerana cerana,Colony_2,50,YB,3,9,7834,7867,33,0.559322033,,
Apis cerana cerana,Colony_2,50,YT,1,1,23340,23374,34,0.576271185,24.33333333,0.412429378
Apis cerana cerana,Colony_2,50,YT,1,NA,NA,NA,NA,NA,,
Apis cerana cerana,Colony_2,50,YT,1,2,23680,23701,21,0.355932203,,
Apis cerana cerana,Colony_2,50,YT,1,NA,NA,NA,NA,NA,,
Apis cerana cerana,Colony_2,50,YT,1,3,24272,24290,18,0.305084745,,
Apis cerana cerana,Colony_2,50,YT,2,1,522,540,18,0.305084745,21.75,0.368644067
Apis cerana cerana,Colony_2,50,YT,2,2,594,624,30,0.508474575,,
Apis cerana cerana,Colony_2,50,YT,2,3,708,730,22,0.372881355,,
Apis cerana cerana,Colony_2,50,YT,2,4,804,821,17,0.288135593,,
Apis cerana cerana,Colony_2,100,BY,1,1,1476,1508,32,0.54237288,28.16666667,0.477401129
Apis cerana cerana,Colony_2,100,BY,1,2,1650,1678,28,0.47457627,,
Apis cerana cerana,Colony_2,100,BY,1,3,1796,1823,27,0.457627118,,
Apis cerana cerana,Colony_2,100,BY,1,4,1916,1946,30,0.508474575,,
Apis cerana cerana,Colony_2,100,BY,1,5,2034,2077,43,0.728813558,,
Apis cerana cerana,Colony_2,100,BY,1,6,2140,2189,49,0.830508473,,
Apis cerana cerana,Colony_2,100,BY,1,NA,NA,NA,NA,NA,,
Apis cerana cerana,Colony_2,100,BY,1,7,2368,2397,29,0.491525423,,
Apis cerana cerana,Colony_2,100,BY,1,NA,NA,NA,NA,NA,,
Apis cerana cerana,Colony_2,100,BY,1,8,2666,2691,25,0.423728813,,
Apis cerana cerana,Colony_2,100,BY,1,NA,NA,NA,NA,NA,,
Apis cerana cerana,Colony_2,100,BY,1,9,3168,3201,33,0.559322033,,
Apis cerana cerana,Colony_2,100,BY,1,10,3280,3320,40,0.6779661,,
Apis cerana cerana,Colony_2,100,BY,1,11,3456,3481,25,0.423728813,,
Apis cerana cerana,Colony_2,100,BY,1,12,3588,3603,15,0.254237288,,
