Population,Colony_ID,Distance(m),Bee_Id,Dance_No .,Waggle_run_No.,Start_frame,End_frame,Frame_difference,Waggle_run_duration(s),Mean_frame_difference,Mean_waggle_run_duration(s)
Apis cerana indica,Colony_1,50,BT,1,1,12062,12099,37,0.627118643,37,0.627118643
Apis cerana indica,Colony_1,50,RR,1,1,1104,1141,37,0.627118643,28.09090909,0.476117102
Apis cerana indica,Colony_1,50,RR,1,2,1208,1230,22,0.372881355,,
Apis cerana indica,Colony_1,50,RR,1,3,1298,1315,17,0.288135593,,
Apis cerana indica,Colony_1,50,RR,1,4,1412,1426,14,0.237288135,,
Apis cerana indica,Colony_1,50,RR,1,5,1504,1538,34,0.576271185,,
Apis cerana indica,Colony_1,50,RR,1,6,1688,1719,31,0.525423728,,
Apis cerana indica,Colony_1,50,RR,1,7,1794,1821,27,0.457627118,,
Apis cerana indica,Colony_1,50,RR,1,NA,NA,NA,NA,NA,,
Apis cerana indica,Colony_1,50,RR,1,8,2304,2332,28,0.47457627,,
Apis cerana indica,Colony_1,50,RR,1,9,2582,2611,29,0.491525423,,
Apis cerana indica,Colony_1,50,RR,1,10,2668,2719,51,0.864406778,,
Apis cerana indica,Colony_1,50,RR,1,11,2838,2857,19,0.322033898,,
Apis cerana indica,Colony_1,50,RR,2,1,9922,9969,47,0.796610168,35.75,0.605932202
Apis cerana indica,Colony_1,50,RR,2,2,10048,10071,23,0.389830508,,
Apis cerana indica,Colony_1,50,RR,2,3,10164,10201,37,0.627118643,,
Apis cerana indica,Colony_1,50,RR,2,NA,NA,NA,NA,NA,,
Apis cerana indica,Colony_1,50,RR,2,4,10346,10382,36,0.61016949,,
Apis cerana indica,Colony_1,50,RR,3,1,14032,14064,32,0.54237288,24.97674419,0.423334646
Apis cerana indica,Colony_1,50,RR,3,NA,NA,NA,NA,NA,,
Apis cerana indica,Colony_1,50,RR,3,2,14260,14298,38,0.644067795,,
Apis cerana indica,Colony_1,50,RR,3,NA,NA,NA,NA,NA,,
Apis cerana indica,Colony_1,50,RR,3,3,14810,14849,39,0.661016948,,
Apis cerana indica,Colony_1,50,RR,3,4,14914,14942,28,0.47457627,,
Apis cerana indica,Colony_1,50,RR,3,5,15024,15047,23,0.389830508,,
Apis cerana indica,Colony_1,50,RR,3,6,15104,15139,35,0.593220338,,
Apis cerana indica,Colony_1,50,RR,3,NA,NA,NA,NA,NA,,
Apis cerana indica,Colony_1,50,RR,3,7,15326,15339,13,0.220338983,,
Apis cerana indica,Colony_1,50,RR,3,8,15428,15449,21,0.355932203,,
Apis cerana indica,Colony_1,50,RR,3,NA,NA,NA,NA,NA,,
Apis cerana indica,Colony_1,50,RR,3,9,15646,15671,25,0.423728813,,
Apis cerana indica,Colony_1,50,RR,3,NA,NA,NA,NA,NA,,
Apis cerana indica,Colony_1,50,RR,3,10,15912,15944,32,0.54237288,,
Apis cerana indica,Colony_1,50,RR,3,11,16026,16058,32,0.54237288,,
Apis cerana indica,Colony_1,50,RR,3,12,16134,16155,21,0.355932203,,
Apis cerana indica,Colony_1,50,RR,3,NA,NA,NA,NA,NA,,
Apis cerana indica,Colony_1,50,RR,3,13,16558,16576,18,0.305084745,,
Apis cerana indica,Colony_1,50,RR,3,NA,NA,NA,NA,NA,,
Apis cerana indica,Colony_1,50,RR,3,14,16866,16900,34,0.576271185,,
Apis cerana indica,Colony_1,50,RR,3,NA,NA,NA,NA,NA,,
Apis cerana indica,Colony_1,50,RR,3,15,17076,17095,19,0.322033898,,
Apis cerana indica,Colony_1,50,RR,3,16,17158,17194,36,0.61016949,,
Apis cerana indica,Colony_1,50,RR,3,NA,NA,NA,NA,NA,,
Apis cerana indica,Colony_1,50,RR,3,17,17416,17432,16,0.27118644,,
Apis cerana indica,Colony_1,50,RR,3,18,17486,17514,28,0.47457627,,
Apis cerana indica,Colony_1,50,RR,3,NA,NA,NA,NA,NA,,
Apis cerana indica,Colony_1,50,RR,3,19,17742,17769,27,0.457627118,,
Apis cerana indica,Colony_1,50,RR,3,20,17858,17873,15,0.254237288,,
Apis cerana indica,Colony_1,50,RR,3,21,18254,18294,40,0.6779661,,
Apis cerana indica,Colony_1,50,RR,3,22,18384,18409,25,0.423728813,,
Apis cerana indica,Colony_1,50,RR,3,23,18464,18497,33,0.559322033,,
Apis cerana indica,Colony_1,50,RR,3,24,18566,18593,27,0.457627118,,
Apis cerana indica,Colony_1,50,RR,3,25,18676,18687,11,0.186440678,,
Apis cerana indica,Colony_1,50,RR,3,26,18752,18789,37,0.627118643,,
Apis cerana indica,Colony_1,50,RR,3,27,18844,18869,25,0.423728813,,
Apis cerana indica,Colony_1,50,RR,3,28,18932,18950,18,0.305084745,,
Apis cerana indica,Colony_1,50,RR,3,29,19018,19030,12,0.20338983,,
Apis cerana indica,Colony_1,50,RR,3,30,19122,19152,30,0.508474575,,
Apis cerana indica,Colony_1,50,RR,3,NA,NA,NA,NA,NA,,
Apis cerana indica,Colony_1,50,RR,3,31,19316,19325,9,0.152542373,,
Apis cerana indica,Colony_1,50,RR,3,32,19390,19421,31,0.525423728,,
Apis cerana indica,Colony_1,50,RR,3,33,19492,19515,23,0.389830508,,
Apis cerana indica,Colony_1,50,RR,3,34,19572,19592,20,0.33898305,,
Apis cerana indica,Colony_1,50,RR,3,35,19670,19691,21,0.355932203,,
Apis cerana indica,Colony_1,50,RR,3,36,19774,19806,32,0.54237288,,
Apis cerana indica,Colony_1,50,RR,3,37,19902,19915,13,0.220338983,,
Apis cerana indica,Colony_1,50,RR,3,38,19990,20003,13,0.220338983,,
Apis cerana indica,Colony_1,50,RR,3,39,20080,20090,10,0.169491525,,
Apis cerana indica,Colony_1,50,RR,3,NA,NA,NA,NA,NA,,
Apis cerana indica,Colony_1,50,RR,3,40,20426,20461,35,0.593220338,,
Apis cerana indica,Colony_1,50,RR,3,41,20528,20551,23,0.389830508,,
Apis cerana indica,Colony_1,50,RR,3,NA,NA,NA,NA,NA,,
Apis cerana indica,Colony_1,50,RR,3,42,20730,20756,26,0.440677965,,
Apis cerana indica,Colony_1,50,RR,3,NA,NA,NA,NA,NA,,
Apis cerana indica,Colony_1,50,RR,3,43,21088,21116,28,0.47457627,,
Apis cerana indica,Colony_1,50,RR,4,1,22628,22668,40,0.6779661,40,0.6779661
Apis cerana indica,Colony_1,50,RY,1,1,29216,29250,34,0.576271185,32.5,0.550847456
Apis cerana indica,Colony_1,50,RY,1,NA,NA,NA,NA,NA,,
Apis cerana indica,Colony_1,50,RY,1,2,29850,29881,31,0.525423728,,
Apis cerana indica,Colony_1,50,WW,1,1,592,617,25,0.423728813,24.66666667,0.418079095
Apis cerana indica,Colony_1,50,WW,1,2,702,718,16,0.27118644,,
Apis cerana indica,Colony_1,50,WW,1,NA,NA,NA,NA,NA,,
Apis cerana indica,Colony_1,50,WW,1,3,1096,1120,24,0.40677966,,
Apis cerana indica,Colony_1,50,WW,1,NA,NA,NA,NA,NA,,
Apis cerana indica,Colony_1,50,WW,1,4,1312,1340,28,0.47457627,,
Apis cerana indica,Colony_1,50,WW,1,NA,NA,NA,NA,NA,,
Apis cerana indica,Colony_1,50,WW,1,5,1668,1698,30,0.508474575,,
Apis cerana indica,Colony_1,50,WW,1,6,1746,1771,25,0.423728813,,
Apis cerana indica,Colony_1,50,WW,2,1,13746,13764,18,0.305084745,18,0.305084745
Apis cerana indica,Colony_1,100,BAI,1,1,1559,1610,51,0.864406778,45.25,0.766949151
Apis cerana indica,Colony_1,100,BAI,1,NA,NA,NA,NA,NA,,
Apis cerana indica,Colony_1,100,BAI,1,2,2166,2204,38,0.644067795,,
Apis cerana indica,Colony_1,100,BAI,1,3,2360,2418,58,0.983050845,,
Apis cerana indica,Colony_1,100,BAI,1,4,2539,2573,34,0.576271185,,
Apis cerana indica,Colony_1,100,BAI,2,1,15840,15894,54,0.915254235,46.14285714,0.782082323
Apis cerana indica,Colony_1,100,BAI,2,NA,NA,NA,NA,NA,,
Apis cerana indica,Colony_1,100,BAI,2,2,16228,16271,43,0.728813558,,
Apis cerana indica,Colony_1,100,BAI,2,3,16400,16459,59,0.999999998,,
Apis cerana indica,Colony_1,100,BAI,2,NA,NA,NA,NA,NA,,
Apis cerana indica,Colony_1,100,BAI,2,4,16638,16665,27,0.457627118,,
Apis cerana indica,Colony_1,100,BAI,2,5,16836,16903,67,1.135593218,,
Apis cerana indica,Colony_1,100,BAI,2,6,17030,17080,50,0.847457625,,
Apis cerana indica,Colony_1,100,BAI,2,7,17184,17207,23,0.389830508,,
Apis cerana indica,Colony_1,100,G_,1,1,27521,27568,47,0.796610168,40.5,0.686440676
Apis cerana indica,Colony_1,100,G_,1,2,27664,27698,34,0.576271185,,
Apis cerana indica,Colony_1,100,G_,2,1,35328,35384,56,0.94915254,52.5625,0.890889828
Apis cerana indica,Colony_1,100,G_,2,2,35480,35520,40,0.6779661,,
Apis cerana indica,Colony_1,100,G_,2,3,35599,35658,59,0.999999998,,
Apis cerana indica,Colony_1,100,G_,2,4,35758,35810,52,0.88135593,,
Apis cerana indica,Colony_1,100,G_,2,5,35906,35963,57,0.966101693,,
Apis cerana indica,Colony_1,100,G_,2,6,36076,36132,56,0.94915254,,
Apis cerana indica,Colony_1,100,G_,2,7,36259,36340,81,1.372881353,,
Apis cerana indica,Colony_1,100,G_,2,8,36448,36500,52,0.88135593,,
Apis cerana indica,Colony_1,100,G_,2,9,36608,36643,35,0.593220338,,
Apis cerana indica,Colony_1,100,G_,2,10,36756,36802,46,0.779661015,,
Apis cerana indica,Colony_1,100,G_,2,11,36908,36960,52,0.88135593,,
Apis cerana indica,Colony_1,100,G_,2,12,37040,37091,51,0.864406778,,
