Population,Colony_ID,Distance(m),Bee_Id,Dance_No .,Waggle_run_No.,Start_frame,End_frame,Frame_difference,Waggle_run_duration(s),Mean_frame_difference,Mean_waggle_run_duration(s)
Apis cerana cerana,Colony_1,50,BA,1,1,7530,7551,21,0.355932203,15.5,0.262711864
Apis cerana cerana,Colony_1,50,BA,1,2,7893,7900,7,0.118644068,,
Apis cerana cerana,Colony_1,50,BA,1,3,8200,8215,15,0.254237288,,
Apis cerana cerana,Colony_1,50,BA,1,4,8313,8332,19,0.322033898,,
Apis cerana cerana,Colony_1,50,BA,2,1,36304,36320,16,0.27118644,16.2,0.274576271
Apis cerana cerana,Colony_1,50,BA,2,2,36400,36416,16,0.27118644,,
Apis cerana cerana,Colony_1,50,BA,2,3,36485,36500,15,0.254237288,,
Apis cerana cerana,Colony_1,50,BA,2,4,36585,36600,15,0.254237288,,
Apis cerana cerana,Colony_1,50,BA,2,5,36683,36702,19,0.322033898,,
Apis cerana cerana,Colony_1,50,BA,3,1,30510,30521,11,0.186440678,13,0.220338983
Apis cerana cerana,Colony_1,50,BA,3,2,30610,30625,15,0.254237288,,
Apis cerana cerana,Colony_1,50,BA,4,1,4325,4372,47,0.796610168,22,0.372881355
Apis cerana cerana,Colony_1,50,BA,4,2,4432,4463,31,0.525423728,,
Apis cerana cerana,Colony_1,50,BA,4,3,4570,4590,20,0.33898305,,
Apis cerana cerana,Colony_1,50,BA,4,4,4901,4920,19,0.322033898,,
Apis cerana cerana,Colony_1,50,BA,4,6,5016,5026,10,0.169491525,,
Apis cerana cerana,Colony_1,50,BA,4,7,5115,5123,8,0.13559322,,
Apis cerana cerana,Colony_1,50,BA,4,8,5447,5466,19,0.322033898,,
Apis cerana cerana,Colony_1,50,BAI,1,1,27756,27785,29,0.491525423,16.33333333,0.276836158
Apis cerana cerana,Colony_1,50,BAI,1,2,27874,27882,8,0.13559322,,
Apis cerana cerana,Colony_1,50,BAI,1,3,27978,27990,12,0.20338983,,
Apis cerana cerana,Colony_1,50,RG,1,1,26942,26960,18,0.305084745,15.33333333,0.259887005
Apis cerana cerana,Colony_1,50,RG,1,2,27224,27236,12,0.20338983,,
Apis cerana cerana,Colony_1,50,RG,1,3,27302,27318,16,0.27118644,,
Apis cerana cerana,Colony_1,50,WR,1,1,6058,6069,11,0.186440678,13,0.220338983
Apis cerana cerana,Colony_1,50,WR,1,2,6154,6172,18,0.305084745,,
Apis cerana cerana,Colony_1,50,WR,1,3,6289,6299,10,0.169491525,,
Apis cerana cerana,Colony_1,50,WR,2,1,28975,28997,22,0.372881355,13.6,0.230508474
Apis cerana cerana,Colony_1,50,WR,2,2,29085,29095,10,0.169491525,,
Apis cerana cerana,Colony_1,50,WR,2,3,29164,29180,16,0.27118644,,
Apis cerana cerana,Colony_1,50,WR,2,4,29268,29285,17,0.288135593,,
Apis cerana cerana,Colony_1,50,WR,2,5,29361,29377,16,0.27118644,,
Apis cerana cerana,Colony_1,50,WR,2,6,29506,29519,13,0.220338983,,
Apis cerana cerana,Colony_1,50,WR,2,7,29593,29605,12,0.20338983,,
Apis cerana cerana,Colony_1,50,WR,2,8,29726,29736,10,0.169491525,,
Apis cerana cerana,Colony_1,50,WR,2,9,29850,29856,6,0.101694915,,
Apis cerana cerana,Colony_1,50,WR,2,10,29932,29946,14,0.237288135,,
Apis cerana cerana,Colony_1,50,WR,3,1,83,95,12,0.20338983,20.33333333,0.344632768
Apis cerana cerana,Colony_1,50,WR,3,2,170,200,30,0.508474575,,
Apis cerana cerana,Colony_1,50,WR,3,3,278,297,19,0.322033898,,
Apis cerana cerana,Colony_1,50,WR,4,1,6366,6382,16,0.27118644,17.75,0.300847457
Apis cerana cerana,Colony_1,50,WR,4,2,6452,6466,14,0.237288135,,
Apis cerana cerana,Colony_1,50,WR,4,3,6638,6663,25,0.423728813,,
Apis cerana cerana,Colony_1,50,WR,4,4,6780,6796,16,0.27118644,,
Apis cerana cerana,Colony_1,50,WR,5,1,22530,22540,10,0.169491525,16,0.27118644
Apis cerana cerana,Colony_1,50,WR,5,2,22621,22641,20,0.33898305,,
Apis cerana cerana,Colony_1,50,WR,5,3,22718,22728,10,0.169491525,,
Apis cerana cerana,Colony_1,50,WR,5,4,22803,22823,20,0.33898305,,
Apis cerana cerana,Colony_1,50,WR,5,5,22989,23007,18,0.305084745,,
Apis cerana cerana,Colony_1,50,WR,5,6,23073,23092,19,0.322033898,,
Apis cerana cerana,Colony_1,50,WR,5,7,23166,23184,18,0.305084745,,
Apis cerana cerana,Colony_1,50,WR,5,8,23280,23295,15,0.254237288,,
Apis cerana cerana,Colony_1,50,WR,5,9,23465,23479,14,0.237288135,,
Apis cerana cerana,Colony_1,100,BAI,1,1,16056,16088,32,0.54237288,32,0.54237288
Apis cerana cerana,Colony_1,100,BAI,2,1,29790,29804,14,0.237288135,33.5,0.567796609
Apis cerana cerana,Colony_1,100,BAI,2,2,29896,29954,58,0.983050845,,
Apis cerana cerana,Colony_1,100,BAI,2,3,30360,30394,34,0.576271185,,
Apis cerana cerana,Colony_1,100,BAI,2,4,30475,30520,45,0.762711863,,
Apis cerana cerana,Colony_1,100,BAI,2,5,30620,30644,24,0.40677966,,
Apis cerana cerana,Colony_1,100,BAI,2,6,30754,30780,26,0.440677965,,
Apis cerana cerana,Colony_1,100,BAI,3,1,37714,37743,29,0.491525423,32.69230769,0.554106909
Apis cerana cerana,Colony_1,100,BAI,3,2,37840,37860,20,0.33898305,,
Apis cerana cerana,Colony_1,100,BAI,3,3,37970,38000,30,0.508474575,,
Apis cerana cerana,Colony_1,100,BAI,3,4,288,335,47,0.796610168,,
Apis cerana cerana,Colony_1,100,BAI,3,5,422,456,34,0.576271185,,
Apis cerana cerana,Colony_1,100,BAI,3,6,550,590,40,0.6779661,,
Apis cerana cerana,Colony_1,100,BAI,3,7,680,724,44,0.74576271,,
Apis cerana cerana,Colony_1,100,BAI,3,8,922,966,44,0.74576271,,
Apis cerana cerana,Colony_1,100,BAI,3,9,1072,1098,26,0.440677965,,
Apis cerana cerana,Colony_1,100,BAI,3,10,1188,1216,28,0.47457627,,
Apis cerana cerana,Colony_1,100,BAI,3,11,1328,1366,38,0.644067795,,
Apis cerana cerana,Colony_1,100,BAI,3,12,1462,1484,22,0.372881355,,
Apis cerana cerana,Colony_1,100,BAI,3,13,1600,1623,23,0.389830508,,
Apis cerana cerana,Colony_1,100,BAI,4,1,14412,14427,15,0.254237288,35.28571429,0.598062953
Apis cerana cerana,Colony_1,100,BAI,4,2,14520,14552,32,0.54237288,,
Apis cerana cerana,Colony_1,100,BAI,4,3,14658,14698,40,0.6779661,,
Apis cerana cerana,Colony_1,100,BAI,4,4,14950,15000,50,0.847457625,,
Apis cerana cerana,Colony_1,100,BAI,4,5,15078,15116,38,0.644067795,,
Apis cerana cerana,Colony_1,100,BAI,4,6,15234,15266,32,0.54237288,,
Apis cerana cerana,Colony_1,100,BAI,4,7,15348,15374,26,0.440677965,,
Apis cerana cerana,Colony_1,100,BAI,4,8,15452,15510,58,0.983050845,,
Apis cerana cerana,Colony_1,100,BAI,4,9,15598,15607,9,0.152542373,,
Apis cerana cerana,Colony_1,100,BAI,4,10,15684,15721,37,0.627118643,,
Apis cerana cerana,Colony_1,100,BAI,4,11,15830,15864,34,0.576271185,,
Apis cerana cerana,Colony_1,100,BAI,4,12,16092,16132,40,0.6779661,,
Apis cerana cerana,Colony_1,100,BAI,4,13,16212,16262,50,0.847457625,,
Apis cerana cerana,Colony_1,100,BAI,4,14,16354,16387,33,0.559322033,,
Apis cerana cerana,Colony_1,100,BAI,5,1,14980,15030,50,0.847457625,42,0.711864405
Apis cerana cerana,Colony_1,100,BAI,5,2,15332,15390,58,0.983050845,,
Apis cerana cerana,Colony_1,100,BAI,5,3,16052,16070,18,0.305084745,,
Apis cerana cerana,Colony_1,100,BAI,6,1,23448,23482,34,0.576271185,33.42857143,0.566585955
Apis cerana cerana,Colony_1,100,BAI,6,2,23690,23732,42,0.711864405,,
Apis cerana cerana,Colony_1,100,BAI,6,3,23890,23920,30,0.508474575,,
Apis cerana cerana,Colony_1,100,BAI,6,4,24016,24040,24,0.40677966,,
Apis cerana cerana,Colony_1,100,BAI,6,5,24154,24181,27,0.457627118,,
Apis cerana cerana,Colony_1,100,BAI,6,6,24254,24303,49,0.830508473,,
Apis cerana cerana,Colony_1,100,BAI,6,7,24384,24412,28,0.47457627,,
Apis cerana cerana,Colony_1,100,BAI,7,1,24592,24632,40,0.6779661,37.89473684,0.642283674
Apis cerana cerana,Colony_1,100,BAI,7,2,24740,24762,22,0.372881355,,
Apis cerana cerana,Colony_1,100,BAI,7,3,24824,24866,42,0.711864405,,
Apis cerana cerana,Colony_1,100,BAI,7,4,24996,25053,57,0.966101693,,
Apis cerana cerana,Colony_1,100,BAI,7,5,25130,25170,40,0.6779661,,
Apis cerana cerana,Colony_1,100,BAI,7,6,25268,25292,24,0.40677966,,
Apis cerana cerana,Colony_1,100,BAI,7,7,25464,25521,57,0.966101693,,
Apis cerana cerana,Colony_1,100,BAI,7,8,25620,25652,32,0.54237288,,
Apis cerana cerana,Colony_1,100,BAI,7,9,25720,25764,44,0.74576271,,
Apis cerana cerana,Colony_1,100,BAI,7,10,25862,25904,42,0.711864405,,
Apis cerana cerana,Colony_1,100,BAI,7,11,25974,26015,41,0.694915253,,
Apis cerana cerana,Colony_1,100,BAI,7,12,26122,26144,22,0.372881355,,
Apis cerana cerana,Colony_1,100,BAI,7,13,26228,26272,44,0.74576271,,
Apis cerana cerana,Colony_1,100,BAI,7,14,26368,26401,33,0.559322033,,
Apis cerana cerana,Colony_1,100,BAI,7,15,26492,26522,30,0.508474575,,
Apis cerana cerana,Colony_1,100,BAI,7,16,26616,26652,36,0.61016949,,
Apis cerana cerana,Colony_1,100,BAI,7,17,26764,26784,20,0.33898305,,
Apis cerana cerana,Colony_1,100,BAI,7,18,26902,26948,46,0.779661015,,
Apis cerana cerana,Colony_1,100,BAI,7,19,27026,27074,48,0.81355932,,
Apis cerana cerana,Colony_1,100,BAI,8,1,12170,12185,15,0.254237288,31.14285714,0.527845035
Apis cerana cerana,Colony_1,100,BAI,8,2,12278,12289,11,0.186440678,,
Apis cerana cerana,Colony_1,100,BAI,8,3,12373,12408,35,0.593220338,,
Apis cerana cerana,Colony_1,100,BAI,8,4,12472,12523,51,0.864406778,,
Apis cerana cerana,Colony_1,100,BAI,8,5,12616,12650,34,0.576271185,,
Apis cerana cerana,Colony_1,100,BAI,8,6,12788,12820,32,0.54237288,,
Apis cerana cerana,Colony_1,100,BAI,8,7,12924,12964,40,0.6779661,,
Apis cerana cerana,Colony_1,100,BAI,9,1,19520,19564,44,0.74576271,29,0.491525423
Apis cerana cerana,Colony_1,100,BAI,9,2,19672,19686,14,0.237288135,,
Apis cerana cerana,Colony_1,100,BR,1,1,3674,3692,18,0.305084745,25,0.423728813
Apis cerana cerana,Colony_1,100,BR,1,2,3764,3796,32,0.54237288,,
Apis cerana cerana,Colony_1,100,BR,2,1,18084,18114,30,0.508474575,30,0.508474575
Apis cerana cerana,Colony_1,100,BR,3,1,29382,29408,26,0.440677965,26.125,0.442796609
Apis cerana cerana,Colony_1,100,BR,3,2,29482,29515,33,0.559322033,,
Apis cerana cerana,Colony_1,100,BR,3,3,29596,29623,27,0.457627118,,
Apis cerana cerana,Colony_1,100,BR,3,4,29716,29737,21,0.355932203,,
